"Generation","Type","Date_start","Date_end","N_plant_start","N_plant_end","N_vessels","Volume_media_litre","N_Autoclave","Time_Autoclave (hrs)","Media_prep_time (hrs)","Time_Cutting (hrs)","Total_Biomass (gr)"
"1","Growth","2020-09-04","2020-11-13","6","6","6","1","1","1.5","1",NA,NA
"1","Cutting","2020-11-13","2020-11-13","6","57",NA,NA,NA,NA,NA,"1.2",NA
"1","Rooting","2020-11-13","2020-12-11","57","53","7","1","1","2","1.5",NA,NA
"2","Growth","2020-12-11","2021-02-05","53","42","53","6","1","1.5","1",NA,NA
"2","Cutting","2021-02-05","2021-02-05","42","399",NA,NA,NA,NA,NA,"8.4",NA
"2","Rooting","2021-02-05","2021-02-26","399","371","45","3","3","6","4.5",NA,NA
"3","Growth","2021-02-26","2021-04-23","38","30","38","4","1","1.5","1",NA,NA
"3","Biobanking","2021-02-26","2021-06-11","333","266","333","1","6","9","6",NA,"212.8"
"3","Cutting","2021-04-23","2021-04-23","30","285",NA,NA,NA,NA,NA,"6",NA
"3","Rooting","2021-04-23","2021-05-14","285","265","32","2","2","4","3",NA,NA
"4","Growth","2021-05-14","2021-07-09","265","212","265","27","5","7.5","5",NA,NA
